"time","local_time","player_name","xcoord","ycoord","speed","direction","acceleration","distance","team"
"1549044414000","2019-02-01 19:06:54","Holger Glandorf","11.23","11.329","1.963","133.937","0.428","92.069",1
"1549044414000","2019-02-01 19:06:54","Hampus Wanne","-0.355","0.021","0.459","9.261","0.07","53.831",1
"1549044414000","2019-02-01 19:06:54","Andy Schmid","8.937","8.309","2.333","111.893","-1.446","93.659",1
"1549044414000","2019-02-01 19:06:54","Jeljko Musa","6.683","10.399","1.114","-119.952","-1.009","70.82",1
"1549044414000","2019-02-01 19:06:54","Robert Weber","-0.04","19.954","0.29",NULL,"0.032","79.264",1
"1549044414000","2019-02-01 19:06:54","Fabian van Olphen","8.702","19.675","0.906","-177.576","0.78","87.627",1
"1549044414000","2019-02-01 19:06:54","Mikael  Appelgren ","30.277","9.645","0.004",NULL,"-0.024","29.799",1
"1549044414000","2019-02-01 19:06:54","Finn Lemke","7.78","10.681","2.024","166.829","0.166","22.013",0
"1549044414000","2019-02-01 19:06:54","Patrick Groetzki","5.335","4.041","0.639","-16.36","-0.202","103.779",0
"1549044414000","2019-02-01 19:06:54","Fabian Wiede","6.856","7.371","1.699","120.76","-0.611","120.778",0
"1549044414000","2019-02-01 19:06:54","Patrick Wiencek","6.478","9.057","0.71","-110.55","0.188","104.178",0
"1549044414000","2019-02-01 19:06:54","Paul Drux","6.514","12.873","1.501","83.94","0.801","125.484",0
"1549044414000","2019-02-01 19:06:54","Silvio Heinevetter","0.128","9.821","0.069",NULL,"0.533","27.148",0
"1549044414000","2019-02-01 19:06:54"," Ball 4","10.316","11.449","8.94","83.286","-28.406","352.683",2
"1549044414000","2019-02-01 19:06:54","Matthias Musche","4.847","16.662","0.129",NULL,"0.675","95.654",0
"1549044414050","2019-02-01 19:06:54.05","Silvio Heinevetter","0.126","9.82","0.086",NULL,"0.637","27.148",0
"1549044414050","2019-02-01 19:06:54.05","Matthias Musche","4.833","16.663","0.163",NULL,"0.737","95.654",0
"1549044414050","2019-02-01 19:06:54.05","Paul Drux","6.519","12.951","1.521","84.889","0.801","125.484",0
