"time","local_time","player_name","xcoord","ycoord","speed","direction","acceleration","distance","team"
"1549044502000","2019-02-01 19:08:22","Paul Drux","29.446","19.984","0","50.39","0.119","314.851",0
"1549044502000","2019-02-01 19:08:22","Fabian Böhm","27.709","9.37","1.793","-105.5","-0.144","165.875",0
"1549044502000","2019-02-01 19:08:22","Jeljko Musa","32.263","9.03","0.741","-113.248","-0.533","202.266",1
"1549044502000","2019-02-01 19:08:22","Silvio Heinevetter","10.297","10.25","0.207",NULL,"-0.225","81.55",0
"1549044502000","2019-02-01 19:08:22","Matthias Musche","40.098","20.053","0",NULL,"0","243.059",0
"1549044502000","2019-02-01 19:08:22","Hampus Wanne","37.239","3.043","0.243","170.469","0.59","184.471",1
"1549044502000","2019-02-01 19:08:22","Andy Schmid","35.565","4.151","0.858","155.005","0.357","231.015",1
"1549044502000","2019-02-01 19:08:22","Holger Glandorf","33.063","13.919","0.691","116.692","-0.293","218.615",1
"1549044502000","2019-02-01 19:08:22","Patrick Groetzki","38.667","0.442","3.005","167.673","2.6","253.059",0
"1549044502000","2019-02-01 19:08:22","Patrick Wiencek","33.24","4.707","1.187","-18.404","0.182","264.572",0
"1549044502000","2019-02-01 19:08:22","Fabian Wiede","32.881","0.627","0.798","89.371","-0.132","261.951",0
"1549044502000","2019-02-01 19:08:22","Robert Weber","36.313","16.689","0.255","-82.723","0.176","237.472",1
"1549044502000","2019-02-01 19:08:22","Fabian van Olphen","33.752","5.585","0.451","91.279","0.03","223.86",1
"1549044502000","2019-02-01 19:08:22","Mikael  Appelgren ","39.286","9.223","0.256",NULL,"-0.156","81.42",1
"1549044502050","2019-02-01 19:08:22.05","Patrick Wiencek","33.294","4.678","1.189","-19.519","0.19","264.572",0
"1549044502050","2019-02-01 19:08:22.05","Andy Schmid","35.523","4.179","0.894","153.239","0.348","231.015",1
"1549044502050","2019-02-01 19:08:22.05","Hampus Wanne","37.209","3.039","0.256","170.347","0.637","184.471",1
"1549044502050","2019-02-01 19:08:22.05","Holger Glandorf","33.046","13.964","0.679","113.082","-0.293","218.615",1
"1549044502050","2019-02-01 19:08:22.05","Robert Weber","36.314","16.686","0.258","-83.665","0.176","237.472",1
"1549044502050","2019-02-01 19:08:22.05","Fabian van Olphen","33.772","5.587","0.451","90.942","0.076","223.86",1
"1549044502050","2019-02-01 19:08:22.05","Mikael  Appelgren ","39.29","9.236","0.241",NULL,"-0.156","81.42",1
"1549044502050","2019-02-01 19:08:22.05","Patrick Groetzki","38.505","0.474","3.151","167.63","2.6","253.059",0
"1549044502050","2019-02-01 19:08:22.05","Jeljko Musa","32.264","8.997","0.72","-111.736","-0.536","202.266",1
"1549044502050","2019-02-01 19:08:22.05","Fabian Wiede","32.874","0.669","0.798","111.086","-0.103","261.951",0
"1549044502050","2019-02-01 19:08:22.05","Fabian Böhm","27.689","9.284","1.793","-104.596","-0.17","165.875",0
"1549044502050","2019-02-01 19:08:22.05","Silvio Heinevetter","10.292","10.256","0.185",NULL,"-0.225","81.55",0
"1549044502050","2019-02-01 19:08:22.05","Matthias Musche","40.097","20.053","0",NULL,"0","243.059",0
"1549044502050","2019-02-01 19:08:22.05","Paul Drux","29.45","19.984","0","49.085","0.119","314.851",0
"1549044502100","2019-02-01 19:08:22.1","Silvio Heinevetter","10.288","10.262","0.16",NULL,"-0.225","81.55",0
"1549044502100","2019-02-01 19:08:22.1","Paul Drux","29.453","19.984","0.022","47.758","0.119","314.851",0
"1549044502100","2019-02-01 19:08:22.1","Matthias Musche","40.096","20.052","0",NULL,"0","243.059",0
"1549044502100","2019-02-01 19:08:22.1","Fabian Böhm","27.669","9.198","1.781","-103.627","-0.196","165.875",0
"1549044502100","2019-02-01 19:08:22.1","Fabian Wiede","32.868","0.711","0.798","131.273","-0.074","261.951",0
"1549044502100","2019-02-01 19:08:22.1","Patrick Wiencek","33.348","4.649","1.204","-19.519","0.198","264.572",0
"1549044502100","2019-02-01 19:08:22.1","Patrick Groetzki","38.343","0.505","3.296","167.256","2.6","253.059",0
"1549044502100","2019-02-01 19:08:22.1","Mikael  Appelgren ","39.295","9.249","0.213",NULL,"-0.156","81.42",1
"1549044502100","2019-02-01 19:08:22.1","Fabian van Olphen","33.792","5.589","0.451","90.679","0.123","223.86",1
"1549044502100","2019-02-01 19:08:22.1","Robert Weber","36.316","16.682","0.307","-84.59","0.176","237.472",1
"1549044502100","2019-02-01 19:08:22.1","Holger Glandorf","33.03","14.01","0.641","108.311","-0.293","218.615",1
"1549044502100","2019-02-01 19:08:22.1","Hampus Wanne","37.18","3.034","0.292","170.234","0.685","184.471",1
"1549044502100","2019-02-01 19:08:22.1","Andy Schmid","35.481","4.207","0.922","152.085","0.338","231.015",1
"1549044502100","2019-02-01 19:08:22.1","Jeljko Musa","32.266","8.965","0.691","-113.163","-0.538","202.266",1
"1549044502150","2019-02-01 19:08:22.15","Holger Glandorf","33.013","14.056","0.603","101.827","-0.293","218.615",1
"1549044502150","2019-02-01 19:08:22.15","Hampus Wanne","37.15","3.03","0.327","170.127","0.732","184.471",1
"1549044502150","2019-02-01 19:08:22.15","Andy Schmid","35.438","4.236","0.949","150.93","0.329","231.015",1
"1549044502150","2019-02-01 19:08:22.15","Jeljko Musa","32.268","8.932","0.663","-114.751","-0.54","202.266",1
"1549044502150","2019-02-01 19:08:22.15","Mikael  Appelgren ","39.299","9.262","0.185",NULL,"-0.156","81.42",1
"1549044502150","2019-02-01 19:08:22.15","Fabian van Olphen","33.811","5.591","0.451","90.467","0.169","223.86",1
"1549044502150","2019-02-01 19:08:22.15","Robert Weber","36.317","16.679","0.357","-85.498","0.176","237.472",1
"1549044502150","2019-02-01 19:08:22.15","Matthias Musche","40.094","20.052","0",NULL,"0","243.059",0
"1549044502150","2019-02-01 19:08:22.15","Silvio Heinevetter","10.283","10.268","0.135",NULL,"-0.225","81.55",0
"1549044502150","2019-02-01 19:08:22.15","Fabian Böhm","27.65","9.112","1.769","-102.657","-0.222","165.875",0
"1549044502150","2019-02-01 19:08:22.15","Fabian Wiede","32.861","0.753","0.798","146.391","-0.046","261.951",0
"1549044502150","2019-02-01 19:08:22.15","Patrick Wiencek","33.402","4.62","1.22","-19.519","0.206","264.572",0
"1549044502150","2019-02-01 19:08:22.15","Paul Drux","29.456","19.984","0.058","46.409","0.119","314.851",0
"1549044502150","2019-02-01 19:08:22.15","Patrick Groetzki","38.18","0.537","3.439","166.697","2.6","253.059",0
"1549044502200","2019-02-01 19:08:22.2","Patrick Groetzki","38.006","0.586","3.582","166.138","2.577","253.059",0
"1549044502200","2019-02-01 19:08:22.2","Matthias Musche","40.093","20.052","0",NULL,"0","243.059",0
"1549044502200","2019-02-01 19:08:22.2","Silvio Heinevetter","10.28","10.268","0.109",NULL,"-0.22","81.55",0
"1549044502200","2019-02-01 19:08:22.2","Fabian Böhm","27.63","9.022","1.757","-101.687","-0.249","165.875",0
"1549044502200","2019-02-01 19:08:22.2","Paul Drux","29.464","19.984","0.093","45.041","0.127","314.851",0
"1549044502200","2019-02-01 19:08:22.2","Fabian Wiede","32.844","0.782","0.798","156.777","-0.044","263.093",0
"1549044502200","2019-02-01 19:08:22.2","Patrick Wiencek","33.447","4.579","1.235","-19.519","0.207","264.572",0
"1549044502200","2019-02-01 19:08:22.2","Holger Glandorf","33.012","14.107","0.565","92.8","-0.293","219.521",1
"1549044502200","2019-02-01 19:08:22.2","Hampus Wanne","37.136","3.026","0.362","170.027","0.777","184.471",1
"1549044502200","2019-02-01 19:08:22.2","Andy Schmid","35.395","4.267","0.977","149.775","0.29","231.015",1
"1549044502200","2019-02-01 19:08:22.2","Jeljko Musa","32.268","8.891","0.634","-116.525","-0.54","203.402",1
"1549044502200","2019-02-01 19:08:22.2","Robert Weber","36.317","16.661","0.406",NULL,"0.176","237.472",1
"1549044502200","2019-02-01 19:08:22.2","Fabian van Olphen","33.835","5.611","0.451","90.293","0.195","223.86",1
"1549044502200","2019-02-01 19:08:22.2","Mikael  Appelgren ","39.3","9.263","0.158",NULL,"-0.148","81.42",1
"1549044502250","2019-02-01 19:08:22.25","Jeljko Musa","32.268","8.849","0.607","-118.517","-0.54","203.402",1
"1549044502250","2019-02-01 19:08:22.25","Andy Schmid","35.351","4.299","0.998","148.898","0.25","231.015",1
"1549044502250","2019-02-01 19:08:22.25","Hampus Wanne","37.123","3.023","0.405","169.955","0.823","184.471",1
"1549044502250","2019-02-01 19:08:22.25","Holger Glandorf","33.012","14.159","0.529","80.193","-0.293","219.521",1
"1549044502250","2019-02-01 19:08:22.25","Robert Weber","36.317","16.643","0.443","-86.891","0.176","237.472",1
"1549044502250","2019-02-01 19:08:22.25","Fabian van Olphen","33.86","5.632","0.458","90.463","0.218","223.86",1
"1549044502250","2019-02-01 19:08:22.25","Mikael  Appelgren ","39.3","9.263","0.136",NULL,"-0.14","81.42",1
"1549044502250","2019-02-01 19:08:22.25","Patrick Groetzki","37.83","0.636","3.725","165.579","2.546","253.059",0
"1549044502250","2019-02-01 19:08:22.25","Paul Drux","29.473","19.984","0.119","43.653","0.135","314.851",0
"1549044502250","2019-02-01 19:08:22.25","Matthias Musche","40.091","20.052","0",NULL,"0","243.059",0
"1549044502250","2019-02-01 19:08:22.25","Silvio Heinevetter","10.276","10.268","0.09",NULL,"-0.214","81.55",0
"1549044502250","2019-02-01 19:08:22.25","Fabian Böhm","27.61","8.932","1.744","-100.811","-0.276","165.875",0
"1549044502250","2019-02-01 19:08:22.25","Fabian Wiede","32.827","0.809","0.809","162.753","-0.044","263.093",0
"1549044502250","2019-02-01 19:08:22.25","Patrick Wiencek","33.49","4.538","1.253","-19.519","0.207","264.572",0
"1549044502300","2019-02-01 19:08:22.3","Paul Drux","29.482","19.984","0.119","42.248","0.143","314.851",0
"1549044502300","2019-02-01 19:08:22.3","Matthias Musche","40.09","20.052","0",NULL,"0","243.059",0
"1549044502300","2019-02-01 19:08:22.3","Silvio Heinevetter","10.273","10.268","0.088",NULL,"-0.208","81.55",0
"1549044502300","2019-02-01 19:08:22.3","Fabian Böhm","27.59","8.842","1.727","-100.228","-0.303","165.875",0
"1549044502300","2019-02-01 19:08:22.3","Fabian Wiede","32.809","0.837","0.855","164.111","-0.044","263.093",0
"1549044502300","2019-02-01 19:08:22.3","Patrick Wiencek","33.534","4.496","1.279","-19.519","0.207","264.572",0
"1549044502300","2019-02-01 19:08:22.3","Patrick Groetzki","37.655","0.686","3.852","164.594","2.514","253.059",0
"1549044502300","2019-02-01 19:08:22.3","Hampus Wanne","37.111","3.019","0.472","169.955","0.869","184.471",1
"1549044502300","2019-02-01 19:08:22.3","Robert Weber","36.317","16.624","0.443","-86.141","0.176","237.472",1
