"time","local_time","player_name","xcoord","ycoord","speed","direction","acceleration","distance","team"
"1549045325000","2019-02-01 19:22:05","Johannes Golla","6.901","11.528","0.903","106.159","-0.869","510.839",1
"1549045325000","2019-02-01 19:22:05","Timo Kastening","-0.144","19.323","0.202","0.522","0.206","624.595",1
"1549045325000","2019-02-01 19:22:05","Nikola Bilyk","9.624","1.574","0.377","-9.036","-0.07","554.951",1
"1549045325000","2019-02-01 19:22:05","Patrick Wiencek","6.593","10.809","0.317","128.119","-0.906","1262.684",0
"1549045325000","2019-02-01 19:22:05","Patrick Groetzki","4.618","4.532","0.93","70.564","-0.712","1630.264",0
"1549045325000","2019-02-01 19:22:05","Paul Drux","10.465","-0.048","0",NULL,"0","1131.788",0
"1549045325000","2019-02-01 19:22:05","Mikael  Appelgren ","28.747","10.013","0",NULL,"0","649.703",1
"1549045325000","2019-02-01 19:22:05","Bjarki Mar Elisson","-0.348","-0.325","0.355","36.614","0.486","503.918",1
"1549045325000","2019-02-01 19:22:05","Alexander Petersson","6.893","16.729","3.176","-128.517",NULL,"527.092",1
"1549045325000","2019-02-01 19:22:05","Jannik Kohlbacher","8.889","6.832","1.073","14.097","-1.014","494.846",0
"1549045325000","2019-02-01 19:22:05","Michael Kraus","7.341","11.608","0.79","13.181","-0.129","549.72",1
"1549045325000","2019-02-01 19:22:05","Finn Lemke","8.523","12.586","0.474","106.211","-1.028","1005.797",0
"1549045325000","2019-02-01 19:22:05"," Ball 4","7.237","11.349","1.511","174.693","-4.852","3598.013",2
"1549045325000","2019-02-01 19:22:05","Franz Semper","11.433","-0.115","0",NULL,"0","5.546",0
"1549045325000","2019-02-01 19:22:05","Matthias Musche","-1.256","24.29",NULL,NULL,NULL,"1547.244",0
"1549045325000","2019-02-01 19:22:05","Silvio Heinevetter","0.076","9.884","0.358",NULL,"0.285","598.332",0
"1549045325000","2019-02-01 19:22:05","Fabian Böhm","8.987","15.184","0.581","-91.675","-0.741","1093.413",0
"1549045325050","2019-02-01 19:22:05.05","Fabian Böhm","9.014","15.194","0.565","-108.937","-0.685","1093.413",0
"1549045325050","2019-02-01 19:22:05.05","Patrick Wiencek","6.61","10.816","0.29","133.727","-0.794","1262.684",0
"1549045325050","2019-02-01 19:22:05.05","Patrick Groetzki","4.646","4.575","0.885","74.275","-0.712","1630.264",0
"1549045325050","2019-02-01 19:22:05.05","Finn Lemke","8.538","12.592","0.399","117.793","-0.914","1005.797",0
"1549045325050","2019-02-01 19:22:05.05","Jannik Kohlbacher","8.955","6.835","0.979","13.806","-1.014","494.846",0
"1549045325050","2019-02-01 19:22:05.05"," Ball 4","7.301","11.381","1.477","174.755","0.113","3598.013",2
"1549045325050","2019-02-01 19:22:05.05","Alexander Petersson","6.8","16.599","3.072","-126.659",NULL,"527.092",1
"1549045325050","2019-02-01 19:22:05.05","Bjarki Mar Elisson","-0.328","-0.31","0.384","36.315","0.487","503.918",1
"1549045325050","2019-02-01 19:22:05.05","Timo Kastening","-0.135","19.313","0.206","1.171","0.25","624.595",1
"1549045325050","2019-02-01 19:22:05.05","Johannes Golla","6.865","11.568","0.819","100.371","-0.869","510.839",1
"1549045325050","2019-02-01 19:22:05.05","Nikola Bilyk","9.627","1.564","0.377","-10.514","-0.057","554.951",1
"1549045325050","2019-02-01 19:22:05.05","Mikael  Appelgren ","28.75","10.013","0",NULL,"0","649.703",1
"1549045325050","2019-02-01 19:22:05.05","Michael Kraus","7.379","11.608","0.79","12.049","0.08","549.72",1
"1549045325050","2019-02-01 19:22:05.05","Paul Drux","10.465","-0.048","0",NULL,"0","1131.788",0
"1549045325050","2019-02-01 19:22:05.05","Franz Semper","11.437","-0.114","0",NULL,"0","5.546",0
